ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
15,0,15,0,0,0,0,0,,,,,1.0,1.0,0.7525,83.78208119992632,86.84372449992225,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
15,0,15,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
16,0,16,0,0,0,0,0,,,,,1.0,1.0,0.01,86.84372449992225,89.91070739994757,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
16,0,16,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
17,0,17,0,0,0,0,0,,,,,1.0,1.0,1.0,89.91070739994757,92.97165379999205,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
17,0,17,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
18,0,18,0,0,0,0,0,,,,,1.0,1.0,0.505,92.97165379999205,96.02520979999099,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
18,0,18,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
19,0,19,0,0,0,0,0,,,,,1.0,1.0,0.2575,96.02520979999099,99.01711999997497,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
19,0,19,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
