ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
8,0,8,0,0,0,0,0,,,,,1.0,1.0,0.7525,63.10894950001966,66.14845340000466,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
8,0,8,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
9,0,9,0,0,0,0,0,,,,,1.0,1.0,0.7525,66.14845340000466,69.20902449998539,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
9,0,9,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
10,0,10,0,0,0,0,0,,,,,1.0,1.0,0.01,69.20902449998539,72.24499040003866,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
10,0,10,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
11,0,11,0,0,0,0,0,,,,,1.0,1.0,0.01,72.24499040003866,75.31030400004238,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
11,0,11,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
12,0,12,0,0,0,0,0,,,,,1.0,1.0,0.2575,75.31030400004238,78.37247080006637,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
12,0,12,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
13,0,13,0,0,0,0,0,,,,,1.0,1.0,0.01,78.37247080006637,81.42424150009174,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
13,0,13,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
14,0,14,0,0,0,0,0,,,,,1.0,1.0,0.505,81.42424150009174,84.47879259998444,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
14,0,14,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
15,0,15,0,0,0,0,0,,,,,1.0,1.0,1.0,84.47879259998444,87.56353530008346,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
15,0,15,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
16,0,16,0,0,0,0,0,,,,,1.0,1.0,0.2575,87.56353530008346,90.62640210008249,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
16,0,16,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
17,0,17,0,0,0,0,0,,,,,1.0,1.0,0.505,90.62640210008249,93.69081370008644,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
17,0,17,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
18,0,18,0,0,0,0,0,,,,,1.0,1.0,0.01,93.69081370008644,96.74273709999397,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
18,0,18,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
19,0,19,0,0,0,0,0,,,,,1.0,1.0,1.0,96.74273709999397,99.73446860001422,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
19,0,19,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,
