ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
6,0,6,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
7,0,7,0,0,0,0,0,,,,,1.0,1.0,0.2575,64.94516640005168,67.98656520002987,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
7,0,7,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
8,0,8,0,0,0,0,0,,,,,1.0,1.0,0.505,67.98656520002987,71.04214499995578,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
8,0,8,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
9,0,9,0,0,0,0,0,,,,,1.0,1.0,1.0,71.04214499995578,74.09818179998547,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
9,0,9,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
10,0,10,0,0,0,0,0,,,,,1.0,1.0,0.7525,74.09818179998547,77.13387509994209,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
10,0,10,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
11,0,11,0,0,0,0,0,,,,,1.0,1.0,0.7525,77.13387509994209,80.19604129996151,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
11,0,11,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
12,0,12,0,0,0,0,0,,,,,1.0,1.0,1.0,80.19604129996151,83.24918819998857,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
12,0,12,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
13,0,13,0,0,0,0,0,,,,,1.0,1.0,0.01,83.24918819998857,86.31438740005251,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
13,0,13,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
14,0,14,0,0,0,0,0,,,,,1.0,1.0,1.0,86.31438740005251,89.36228869995102,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
14,0,14,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
15,0,15,0,0,0,0,0,,,,,1.0,1.0,0.505,89.36228869995102,92.40797019994352,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
15,0,15,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
16,0,16,0,0,0,0,0,,,,,1.0,1.0,0.2575,92.40797019994352,95.46089260000736,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
16,0,16,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
17,0,17,0,0,0,0,0,,,,,1.0,1.0,0.7525,95.46089260000736,98.5148231999483,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
17,0,17,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
18,0,18,0,0,0,0,0,,,,,1.0,1.0,0.7525,98.5148231999483,101.5650138000492,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
18,0,18,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
19,0,19,0,0,0,0,0,,,,,1.0,1.0,0.505,101.5650138000492,219.60934650001582,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
19,0,19,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,
