opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,345,0.005,0.5,,,,,1249.0548497999553,1249.0548497999553,1252.0680058000144,1252.0680058000144,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,346,0.005,0.5,,,,,1252.5670624000486,1252.5670624000486,1255.5836453000084,1255.5836453000084,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,347,0.005,0.5,,,,,1256.1344255000586,1256.1344255000586,1259.1506821999792,1259.1506821999792,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,348,0.005,0.5,,,,,1259.6483023000183,1259.6483023000183,1262.668077099952,1262.668077099952,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,349,0.005,0.5,,,,,1263.1645467999624,1263.1645467999624,1266.2217504000291,1266.2217504000291,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,350,0.005,0.5,,,,,1266.67035140004,1266.67035140004,1269.686539300019,1269.686539300019,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,351,0.005,0.5,,,,,1270.187586999964,1270.187586999964,1273.2061778999632,1273.2061778999632,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,352,0.005,0.5,,,,,1273.6993109999457,1273.6993109999457,1276.719776700018,1276.719776700018,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,353,0.005,0.5,,,,,1277.2170485999668,1277.2170485999668,1280.2331029999768,1280.2331029999768,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,354,0.005,0.5,,,,,1280.7318868000293,1280.7318868000293,1283.760207299958,1283.760207299958,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,355,0.005,0.5,,,,,1284.266345000011,1284.266345000011,1287.2858726000413,1287.2858726000413,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,356,0.005,0.5,,,,,1287.7844334000256,1287.7844334000256,1290.8003595999908,1290.8003595999908,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,357,0.005,0.5,,,,,1291.2981344000436,1291.2981344000436,1294.3223502000328,1294.3223502000328,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,358,0.005,0.5,,,,,1294.822987499996,1294.822987499996,1297.8366279000184,1297.8366279000184,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
