opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,staircase_loop2.thisTrialN,staircase_loop2.stepSize,staircase_loop2.intensity,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_5.started,text_6.started,polygon_5.stopped,text_6.stopped,staircase_loop2.response,key_resp_3.rt,polygon_6.started,polygon_6.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,11,0.05,4.25,,,,,,,105.06283859995892,105.06283859995892,110.64688889996614,110.64688889996614,0,,110.64688889996614,,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,12,0.05,4.25,,,,,,,111.16330009995727,111.16330009995727,116.88741689996095,116.88741689996095,0,,116.88741689996095,117.39784799999325,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,13,0.05,4.2,,,,,,,117.39784799999325,117.39784799999325,123.03574859997025,123.03574859997025,1,,123.03574859997025,123.54630439996254,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,14,0.05,4.25,,,,,,,123.54630439996254,123.54630439996254,129.15230680000968,129.15230680000968,1,,129.15230680000968,129.66807839996181,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,15,0.05,4.300000000000001,,,,,,,129.66807839996181,129.66807839996181,135.2976703000022,135.2976703000022,0,,135.2976703000022,,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,16,0.05,4.300000000000001,,,,,,,135.8129167999723,135.8129167999723,141.4687168999808,141.4687168999808,1,,141.4687168999808,141.97962800000096,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,17,0.05,4.3500000000000005,,,,,,,141.97962800000096,141.97962800000096,147.69607999996515,147.69607999996515,0,,147.69607999996515,,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,18,0.05,4.3500000000000005,,,,,,,148.21259549999377,148.21259549999377,153.90477069996996,153.90477069996996,1,,153.90477069996996,154.41228769998997,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,19,0.05,4.4,,,,,,,154.41228769998997,154.41228769998997,160.0169246000005,160.0169246000005,1,,160.0169246000005,160.52762969996547,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,550241,001,3,2024-07-28_17h54.15.070,stimuli4,2022.2.5,59.882462713459745,
