ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
8,0,8,0,0,0,0,0,,,,,1.0,1.0,0.505,65.55842530005611,68.60240040009376,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
8,0,8,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
9,0,9,0,0,0,0,0,,,,,1.0,1.0,0.505,68.60240040009376,71.6624865999911,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
9,0,9,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
10,0,10,0,0,0,0,0,,,,,1.0,1.0,1.0,71.6624865999911,74.7111727000447,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
10,0,10,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
11,0,11,0,0,0,0,0,,,,,1.0,1.0,0.505,74.7111727000447,77.75847040000372,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
11,0,11,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
12,0,12,0,0,0,0,0,,,,,1.0,1.0,1.0,77.75847040000372,80.79973319999408,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
12,0,12,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
13,0,13,0,0,0,0,0,,,,,1.0,1.0,1.0,80.79973319999408,83.8660799000645,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
13,0,13,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
14,0,14,0,0,0,0,0,,,,,1.0,1.0,0.01,83.8660799000645,86.92744830006268,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
14,0,14,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
15,0,15,0,0,0,0,0,,,,,1.0,1.0,1.0,86.92744830006268,89.9793437999906,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
15,0,15,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
16,0,16,0,0,0,0,0,,,,,1.0,1.0,0.505,89.9793437999906,93.02821000001859,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
16,0,16,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
17,0,17,0,0,0,0,0,,,,,1.0,1.0,0.2575,93.02821000001859,96.07952530006878,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
17,0,17,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
18,0,18,0,0,0,0,0,,,,,1.0,1.0,0.7525,96.07952530006878,99.11832380003762,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
18,0,18,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
19,0,19,0,0,0,0,0,,,,,1.0,1.0,0.7525,99.11832380003762,210.13273529999424,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
19,0,19,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
,,,,,,,,,,,,,,,,,,0,,,,,,,,,
