ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
7,0,7,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
8,0,8,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,78.67931069998303,78.67931069998303,81.71260229998734,81.71260229998734,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
8,0,8,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
9,0,9,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,81.71260229998734,81.71260229998734,84.75198040000396,84.75198040000396,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
9,0,9,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
10,0,10,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,84.75198040000396,84.75198040000396,87.79512510000495,87.79512510000495,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
10,0,10,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
11,0,11,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,87.79512510000495,87.79512510000495,90.84471420000773,90.84471420000773,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
11,0,11,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
12,0,12,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,90.84471420000773,90.84471420000773,93.89178180001909,93.89178180001909,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
12,0,12,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
13,0,13,0,0,0,0,0,,,,,,,1.0,0.5,93.89178180001909,93.89178180001909,96.92938700004015,96.92938700004015,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
13,0,13,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
14,0,14,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,96.92938700004015,96.92938700004015,99.96062570001232,99.96062570001232,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
14,0,14,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
15,0,15,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,99.96062570001232,99.96062570001232,102.99164500000188,102.99164500000188,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
15,0,15,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
16,0,16,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,102.99164500000188,102.99164500000188,106.03837399999611,106.03837399999611,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
16,0,16,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
17,0,17,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,106.03837399999611,106.03837399999611,109.05892360000871,109.05892360000871,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
17,0,17,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
18,0,18,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,109.05892360000871,109.05892360000871,112.07944529998349,112.07944529998349,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
18,0,18,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
19,0,19,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,112.07944529998349,112.07944529998349,249.09548830002313,249.09548830002313,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
19,0,19,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
